Participante,Reality,Likes,Comentarios
Pamela Diaz,TB,33200,2448
Junior Playboy,TB,28200,2409
El futuro fuera de orbita,TB,21700,1768
La guaren,TB,17900,1091
Luis Mateucci,TB,16200,978
Eva Gomez,TB,15300,528
Simon de la Costa,TB,13600,1768
Fran Maira,GH,8144,1091
Scarleth,GH,6148,621
Alessia,GH,5516,235
